Customer_ID,Gender,Age,Connect_Date,L_O_S,Dropped_Calls,Pay Method,tariff,Churn,Handset,Peak_calls_Sum,Peak_mins_Sum,OffPeak_calls_Sum,OffPeak_mins_Sum,Weekend_calls_Sum,Weekend_mins_Sum,International_mins_Sum,Nat_call_cost_Sum,AvePeak,AveOffPeak,AveWeekend,National_calls,National mins,AveNational,All_calls_mins,Usage_Band,Mins_charge,call_cost_per_min,actual call cost,Total_call_cost,Total_Cost,Tariff_OK,average cost min,Group
K110280,M,30,08/07/98,27.566667,2,Pre Pay,CAT 100,Active,S80,120,670.800001,90,246.000000,4,43.500000,208.677529,43.183096,5.590000,2.733333,10.875000,214,960.300001,4.487383,1168.977530,Med,360.300001,11.985317,43.183098,105.786356,210.786356,OK,0.180317,1
K110290,F,37,28/05/96,53.266667,0,Pre Pay,CAT 100,Churned,ASAD90,73,411.600001,151,346.800000,4,20.000000,212.117147,18.353382,5.638356,2.296689,5.000000,228,778.400001,3.414035,990.517148,Med,178.400001,10.287770,18.353381,81.988526,186.988526,OK,0.188779,1
K110400,F,36,17/11/99,11.000000,5,Pre Pay,CAT 100,Churned,ASAD90,159,610.200000,59,322.200000,3,9.000000,274.302591,39.198986,3.837736,5.461017,3.000000,221,941.400000,4.259729,1215.702591,Med,341.400000,11.481836,39.198987,121.489764,226.489764,OK,0.186304,1
K105210,F,44,02/05/98,29.800000,2,Pre Pay,CAT 100,Churned,ASAD90,172,454.200000,16,385.800000,0,0.000000,235.159790,25.088450,2.640698,24.112500,0.000000,188,840.000000,4.468085,1075.159790,Med,240.000000,10.407143,24.977143,95.525080,200.525080,OK,0.186507,1
K110480,M,31,27/11/96,47.166667,1,Pre Pay,CAT 100,Active,S80,103,400.199999,158,321.300001,3,47.000000,235.679978,17.199716,3.885437,2.033544,15.666667,264,768.500000,2.910985,1004.179978,Med,168.500000,10.207547,17.199717,87.903710,192.903710,OK,0.192101,1
K110730,F,47,09/04/96,54.900000,2,Pre Pay,CAT 100,Churned,ASAD90,9,464.399999,85,307.500000,17,42.000000,183.847523,22.899836,51.600000,3.617647,2.470588,111,813.899999,7.332432,997.747522,Med,213.899999,10.705861,22.899836,78.054093,183.054093,OK,0.183467,1
K105290,M,32,25/10/96,48.266667,0,Pre Pay,CAT 100,Active,S50,214,571.800000,5,24.600000,0,0.000000,192.670055,0.000000,2.671963,4.920000,0.000000,219,596.400000,2.723288,789.070055,Med,-3.600000,14.587525,0.000000,57.801016,162.801017,OK,0.206320,1
K110640,M,37,02/10/98,24.700000,8,Pre Pay,CAT 100,Active,ASAD170,3,533.400000,22,82.500001,23,102.600000,206.735126,14.722202,177.800000,3.750000,4.460870,48,718.500001,14.968750,925.235127,Med,118.500001,12.423800,14.722203,76.742740,181.742740,OK,0.196429,1
K110580,M,33,15/10/98,24.266667,4,Pre Pay,CAT 100,Churned,S80,12,678.599999,78,169.499999,19,54.000000,235.196511,37.830314,56.550000,2.173077,2.842105,109,902.099998,8.276147,1137.296509,Med,302.099998,12.522448,37.830314,108.389267,213.389267,OK,0.187629,1
K110660,F,37,03/01/97,45.933333,11,Pre Pay,CAT 100,Churned,ASAD90,3,637.200000,39,161.100001,3,33.600000,268.670670,29.357554,212.400000,4.130769,11.200000,45,831.900001,18.486667,1100.570671,Med,231.900001,12.659574,29.357553,109.958754,214.958754,OK,0.195316,1
