고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,이탈여부,핸드셋,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화요금_분,평균주간통화시간,평균야간통화시간,평균주말통화시간,국내통화횟수,국내통화시간_분,평균국내통화시간,총통화시간_분
"K100090","남",38,"31/05/96",53.166667,1,"선불","CAT 50","이탈","SOP20",54,99.000000,34,53.099999,0,0.000000,24.549293,0,1.833333,1.561765,0.000000,88,152.099999,1.728409,176.649292
"K100330","남",26,"19/02/97",44.366667,1,"선불","CAT 50","이탈","SOP10",44,73.549337,6,25.029879,6,21.179130,25.779165,0,1.671576,4.171647,3.529855,56,119.758346,2.138542,145.537511
"K100370","남",45,"14/06/97",40.533333,0,"선불","CAT 50","이탈","SOP20",37,91.200000,10,48.599999,3,7.800000,1.968120,0,2.464865,4.860000,2.600000,50,147.599999,2.952000,149.568119
"K100380","남",39,"23/12/98",21.966667,2,"선불","CAT 50","이탈","SOP20",14,66.000000,20,36.000000,4,24.600000,14.229011,0,4.714286,1.800000,6.150000,38,126.600000,3.331579,140.829011
"K100450","남",32,"08/08/98",26.533333,0,"선불","CAT 50","이탈","SOP20",13,58.631372,8,9.089143,14,11.308088,5.061164,0,4.510106,1.136143,0.807721,35,79.028603,2.257960,84.089767
"K100460","남",39,"01/08/97",38.933333,1,"선불","CAT 50","이탈","SOP10",6,42.194443,10,18.565556,8,13.462037,0.121095,0,7.032407,1.856556,1.682755,24,74.222036,3.092585,74.343131
"K100620","남",30,"04/03/96",56.100000,1,"선불","CAT 50","이탈","SOP20",14,66.000000,20,36.000000,4,24.600000,14.229012,0,4.714286,1.800000,6.150000,38,126.600000,3.331579,140.829012
"K100720","남",40,"01/02/99",20.633333,1,"선불","CAT 50","이탈","SOP20",13,144.599999,3,15.300000,2,15.600000,9.855476,0,11.123077,5.100000,7.800000,18,175.499999,9.750000,185.355475
"K100760","남",37,"24/05/99",16.900000,1,"선불","CAT 50","이탈","SOP20",1,69.000000,11,53.700000,3,5.400000,40.001118,0,69.000000,4.881818,1.800000,15,128.100000,8.540000,168.101118
"K100840","남",33,"26/05/98",29.000000,1,"선불","Play 100","이탈","SOP20",25,18.035407,11,26.806052,9,19.558946,8.033346,0,0.721416,2.436914,2.173216,45,64.400405,1.431120,72.433751
"K100940","남",42,"05/01/96",58.066667,5,"선불","Play 100","이탈","SOP10",0,0.000000,0,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
"K100960","남",25,"23/12/97",34.133333,0,"선불","Play 100","이탈","SOP20",31,38.005697,0,0.000000,35,49.444306,19.038970,0,1.225990,0.000000,1.412694,66,87.450003,1.325000,106.488973
"K101050","남",38,"02/01/98",33.800000,2,"선불","Play 100","이탈","SOP10",0,0.000000,0,0.000000,0,0.000000,0.000000,0,0.000000,0.000000,0.000000,0,0.000000,0.000000,0.000000
