고객ID,성별,연령,개시일,서비스기간,단선횟수,지불방법,요금제,이탈여부,핸드셋
K100010,남,46,18/07/99,15.066667,1,선불,CAT 50,이탈,SOP10
K100020,남,27,18/09/97,37.333333,0,선불,CAT 50,이탈,SOP10
K100030,남,39,23/08/96,50.366667,2,선불,CAT 50,이탈,SOP20
K100040,남,28,18/08/98,26.2,2,선불,CAT 50,이탈,SOP10
K100050,남,47,11/08/98,26.433333,0,선불,CAT 50,이탈,SOP10
K100060,남,29,06/07/97,39.8,1,선불,CAT 50,이탈,SOP10
K100070,남,38,14/10/99,12.133333,1,선불,CAT 50,이탈,SOP20
K100080,남,27,20/01/98,33.2,0,선불,CAT 50,이탈,SOP20
K100090,남,38,31/05/96,53.166667,1,선불,CAT 50,이탈,SOP20
K100100,남,48,28/07/96,51.233333,0,선불,CAT 50,이탈,SOP20
K100110,남,34,11/12/98,22.366667,2,선불,CAT 50,이탈,SOP20
K100120,남,32,06/11/97,35.7,0,선불,CAT 50,이탈,SOP20
K100130,남,45,15/12/96,46.566667,2,선불,CAT 50,이탈,SOP20
K100140,남,29,24/03/99,18.933333,1,선불,CAT 50,이탈,SOP20
K100150,남,30,28/07/98,26.9,2,선불,CAT 50,이탈,SOP20
K100160,남,28,18/07/99,15.066667,9,선불,CAT 50,이탈,SOP20
K100170,남,26,28/06/97,40.066667,1,선불,CAT 50,이탈,SOP10
K100180,남,37,26/06/98,27.966667,1,선불,CAT 50,이탈,SOP10
K100190,남,38,06/08/97,38.766667,2,선불,CAT 50,이탈,SOP10
K100200,남,46,09/10/96,48.8,0,선불,CAT 50,이탈,SOP10
K100210,남,30,12/12/96,46.666667,2,선불,CAT 50,이탈,SOP20
K100220,남,28,21/04/99,18,9,선불,CAT 50,이탈,SOP20
K100230,남,33,20/07/98,27.166667,2,선불,CAT 50,이탈,SOP10
K100240,남,39,28/03/99,18.8,0,선불,CAT 50,이탈,SOP10
K100250,남,28,22/05/96,53.466667,0,선불,CAT 50,이탈,SOP20
K100260,남,42,21/01/98,33.166667,1,선불,CAT 50,이탈,SOP10
K100270,남,44,01/05/98,29.833333,2,선불,CAT 50,유지,SOP20
K100280,남,46,16/09/97,37.4,0,선불,CAT 50,이탈,SOP10
K100290,남,27,18/02/99,20.066667,0,선불,CAT 50,이탈,SOP20
K100300,남,30,27/06/96,52.266667,8,선불,CAT 50,이탈,SOP20
K100310,남,34,19/04/98,30.233333,11,선불,CAT 50,이탈,SOP20
K100320,남,34,13/04/97,42.6,1,선불,CAT 50,이탈,SOP10
K100330,남,26,19/02/97,44.366667,1,선불,CAT 50,이탈,SOP10
K100340,남,50,06/02/96,57,0,선불,CAT 50,이탈,SOP20
K100350,남,37,20/04/98,30.2,2,선불,CAT 50,이탈,SOP10
K100360,남,30,10/01/97,45.7,6,선불,CAT 50,이탈,SOP10
K100370,남,45,14/06/97,40.533333,0,선불,CAT 50,이탈,SOP20
K100380,남,39,23/12/98,21.966667,2,선불,CAT 50,이탈,SOP20
K100390,남,35,13/07/99,15.233333,1,선불,CAT 50,이탈,SOP10
K100400,남,50,19/06/98,28.2,0,선불,CAT 50,이탈,SOP20
K100410,남,45,18/08/96,50.533333,7,선불,CAT 50,이탈,SOP20
K100420,남,31,20/05/98,29.2,1,선불,CAT 50,이탈,SOP10
K100430,남,35,12/06/98,28.433333,0,선불,CAT 50,이탈,SOP10
K100440,남,27,17/04/97,42.466667,2,선불,CAT 50,이탈,SOP20
K100450,남,32,08/08/98,26.533333,0,선불,CAT 50,이탈,SOP20
K100460,남,39,01/08/97,38.933333,1,선불,CAT 50,이탈,SOP10
K100470,남,29,20/07/99,15,1,선불,CAT 50,이탈,SOP10
K100480,남,35,02/11/98,23.666667,11,선불,CAT 50,이탈,SOP10
K100490,남,35,20/12/96,46.4,9,선불,CAT 50,이탈,SOP20
K100500,남,50,12/12/96,46.666667,2,선불,CAT 50,유지,SOP20
K100510,남,33,01/08/98,26.766667,0,선불,CAT 50,이탈,SOP20
K100520,남,28,27/08/97,38.066667,1,선불,CAT 50,이탈,SOP10
K100530,남,37,18/01/99,21.1,2,선불,CAT 50,이탈,SOP20
K100540,남,39,03/09/96,50,0,선불,CAT 50,이탈,SOP10
