고객의 일련번호,결혼상태,신용카드 사용여부,주택소유여부,월평균집세(1000엔),월평균수입(1000엔),연령,현재의 주택에 거주한 년수,피교육년수,은행의 고객이 된 년수,현 직장에서 근무한 년수,은행에서 판별한 신용도 정도
111982034,,"사용","미소유",147,353,28,2,16,5,5,"양호"
112444515,,"사용","소유",0,618,37,5,16,3,6,"모호"
112690708,,"사용","미소유",146,352,21,1,19,7,2,"모호"
114084953,,"사용","미소유",250,600,50,2,16,8,9,"양호"
115345050,,"사용","소유",336,807,41,41,22,10,10,"양호"
121066616,,"사용","소유",144,346,20,20,16,3,2,"양호"
123054075,,"사용","미소유",181,436,46,2,16,4,4,"양호"
125277768,,"사용","미소유",184,442,35,1,16,3,4,"양호"
127665534,,"사용","미소유",194,467,41,1,16,4,5,"양호"
128741962,,"사용","미소유",184,443,36,2,17,4,8,"양호"
130167146,,"사용","미소유",835,569,27,1,16,6,8,"모호"
130578888,,"사용","소유",197,474,34,4,16,5,7,"양호"
141564280,,"사용","소유",186,447,42,6,16,7,4,"양호"
146173342,,"사용","미소유",142,343,28,3,16,2,5,"양호"
148011679,,"사용","미소유",163,393,26,3,16,5,0,"모호"
148331919,,"사용","미소유",190,458,40,4,16,16,5,"모호"
148907105,,"사용","미소유",176,423,20,5,20,19,0,"양호"
149201816,,"사용","미소유",53,466,31,5,16,18,6,"양호"
153009567,,"사용","미소유",178,429,27,1,16,9,6,"모호"
154438316,,"사용","미소유",1285,489,37,4,19,5,4,"양호"
154454725,,"사용","미소유",643,296,33,8,16,8,7,"양호"
155411844,,"사용","미소유",798,292,26,2,16,2,0,"양호"
156533021,,"사용","소유",134,323,22,8,16,9,3,"양호"
157256941,,"사용","미소유",148,524,50,30,16,5,9,"양호"
157818727,,"사용","미소유",396,386,24,2,16,16,3,"불량"
158762588,,"사용","미소유",268,644,36,36,19,13,5,"양호"
159171254,,"사용","소유",0,409,18,6,16,11,0,"모호"
161004560,,"사용","소유",0,399,27,27,16,3,7,"양호"
164699971,,"사용","소유",213,513,46,26,16,5,6,"모호"
164750428,,"사용","미소유",210,506,18,2,17,6,2,"양호"
165135134,,"사용","미소유",210,506,41,4,17,0,11,"양호"
167563088,,"사용","미소유",130,314,26,26,16,1,7,"양호"
171376189,,"사용","미소유",1205,437,39,2,16,17,5,"양호"
173235063,,"사용","소유",0,651,44,6,19,3,7,"양호"
177846109,,"사용","미소유",1921,523,44,2,17,5,5,"양호"
