고객번호,연령,성별,거주지역,소득,결혼여부,자녀수,차량소유,저축성,요구불,모기지론,구매여부
ID12401,19,여자,도심,8162.42,기혼,1,유,유,유,유,무
ID12402,37,여자,도시,15349.6,기혼,0,무,유,무,무,무
ID12403,45,여자,도시,29231.4,기혼,0,무,유,무,무,무
ID12404,49,남자,시골,41462.3,기혼,3,무,유,유,유,무
ID12405,67,여자,시골,57398.1,미혼,3,무,유,유,무,유
ID12406,35,여자,시골,11520.8,기혼,0,무,무,유,무,무
ID12407,63,남자,도심,52117.3,미혼,2,유,유,유,무,유
ID12408,38,남자,시골,26281.4,미혼,0,유,유,유,무,유
ID12409,48,남자,도시,25683.4,미혼,2,유,유,유,무,무
ID12410,28,여자,도심,11920.7,미혼,1,무,유,유,무,무
ID12411,46,남자,도시,30658.7,기혼,0,무,유,유,무,무
ID12412,66,남자,도심,36646.4,미혼,1,무,유,유,무,유
ID12413,61,여자,도시,30760.4,미혼,2,유,무,유,무,유
ID12414,18,여자,시골,16109.9,미혼,2,유,유,유,무,무
ID12415,54,여자,도시,18036.7,기혼,0,유,유,무,무,무
ID12416,45,남자,시골,42628.3,미혼,0,유,유,유,유,무
ID12417,60,남자,도심,22110.1,미혼,2,유,유,유,무,무
ID12418,45,여자,도시,37689.1,미혼,1,무,유,유,유,유
ID12419,31,여자,도심,23171.8,미혼,2,무,유,무,무,무
ID12420,39,남자,근교,21951.3,미혼,0,유,유,유,유,무
ID12421,53,남자,도심,38103.4,미혼,2,유,유,유,무,유
ID12422,35,남자,시골,22882.9,기혼,0,유,무,무,유,유
ID12423,25,여자,도시,11043.7,기혼,1,유,유,무,유,무
ID12424,32,남자,도시,24027.6,미혼,0,무,유,유,무,유
ID12425,36,남자,근교,28495.1,기혼,0,무,유,유,무,무
ID12426,24,여자,도시,9465.21,미혼,0,무,무,유,무,유
ID12427,39,남자,도심,34852.3,기혼,1,무,유,무,유,유
ID12428,24,남자,도심,21268.4,기혼,0,무,무,유,유,유
ID12429,57,여자,시골,50849.2,미혼,1,무,유,무,유,유
ID12430,27,여자,도시,18555.9,기혼,3,무,무,유,무,무
ID12431,66,여자,시골,52769.9,기혼,3,유,유,유,무,유
ID12432,18,여자,도심,11601.4,기혼,2,무,유,유,유,무
ID12433,33,여자,도시,29541.7,기혼,0,무,유,무,무,무
ID12434,48,남자,근교,17861.0,기혼,2,무,유,유,무,무
ID12435,23,여자,근교,21042.0,기혼,1,무,무,유,무,유
ID12436,44,남자,도시,26688.1,기혼,1,무,유,무,유,유
ID12437,39,남자,도심,26900.6,기혼,2,무,무,무,유,무
ID12438,65,남자,도심,38080.9,기혼,1,유,유,무,유,무
ID12439,60,남자,근교,37554.1,기혼,2,유,유,유,유,유
ID12440,20,남자,도심,18184.6,기혼,0,무,무,유,유,유
ID12441,45,여자,근교,28864.9,기혼,0,무,유,유,무,무
ID12442,66,남자,시골,48346.1,기혼,1,유,유,무,무,유
