고객번호,연령,성별,거주지역,소득,결혼여부,자녀수,차량소유,저축성,요구불,모기지론,구매여부
ID12101,48,여자,도심,17546.0,미혼,1,무,무,무,무,유
ID12102,40,남자,도시,30085.1,기혼,3,유,무,유,유,무
ID12103,51,여자,도심,16575.4,기혼,0,유,유,유,무,무
ID12104,23,여자,도시,20375.4,기혼,3,무,무,유,무,무
ID12105,57,여자,시골,50576.3,기혼,0,무,유,무,무,무
ID12106,57,여자,도시,37869.6,기혼,2,무,유,유,무,유
ID12107,22,남자,시골,8877.07,미혼,0,무,무,유,무,유
ID12108,58,남자,도시,24946.6,기혼,0,유,유,유,무,무
ID12109,37,여자,근교,25304.3,기혼,2,유,무,무,무,무
ID12110,54,남자,도시,24212.1,기혼,2,유,유,유,무,무
ID12111,66,여자,도시,59803.9,기혼,0,무,유,유,무,무
ID12112,52,여자,도심,26658.8,미혼,0,유,유,유,유,무
ID12113,44,여자,도시,15735.8,기혼,1,무,유,유,유,유
ID12114,66,여자,도시,55204.7,기혼,1,유,유,유,유,유
ID12115,36,남자,시골,19474.6,기혼,0,무,유,유,유,무
ID12116,38,여자,도심,22342.1,기혼,0,유,유,유,유,무
ID12117,37,여자,도시,17729.8,기혼,2,무,무,무,유,무
ID12118,46,여자,근교,41016.0,기혼,0,무,유,무,유,무
ID12119,62,여자,도심,26909.2,기혼,0,무,유,무,무,유
ID12120,31,남자,도시,22522.8,기혼,0,유,유,유,무,무
ID12121,61,남자,도심,57880.7,기혼,2,무,유,무,무,유
ID12122,50,남자,도시,16497.3,기혼,2,무,유,유,무,무
ID12123,54,남자,도심,38446.6,기혼,0,무,유,유,무,무
ID12124,27,여자,도시,15538.8,미혼,0,유,유,유,유,무
ID12125,22,남자,도심,12640.3,미혼,2,유,유,유,무,무
ID12126,56,남자,도심,41034.0,기혼,0,유,유,유,유,무
ID12127,45,남자,도심,20809.7,기혼,0,무,유,유,유,무
ID12128,39,여자,도시,20114.0,기혼,1,무,무,유,무,유
ID12129,39,여자,도심,29359.1,미혼,3,유,무,유,유,무
ID12130,61,남자,시골,24270.1,기혼,1,무,무,유,무,유
ID12131,61,여자,시골,22942.9,기혼,2,무,유,유,무,무
ID12132,20,여자,도시,16325.8,기혼,2,무,유,무,무,무
ID12133,45,남자,근교,23443.2,기혼,1,유,유,유,무,유
ID12134,33,여자,도심,29921.3,미혼,3,유,유,무,무,무
ID12135,43,남자,근교,37521.9,미혼,0,무,유,유,무,유
ID12136,27,여자,도심,19868.0,기혼,2,무,유,유,무,무
ID12137,19,남자,시골,10953.0,기혼,3,유,유,유,무,무
ID12138,36,여자,시골,13381.0,미혼,0,유,무,유,무,유
ID12139,43,여자,도시,18504.3,기혼,0,유,유,유,무,무
ID12140,66,여자,근교,25391.5,미혼,2,무,무,유,무,무
ID12141,55,남자,도시,26774.2,기혼,0,무,무,유,유,유
ID12142,47,여자,도심,26952.6,기혼,0,유,무,유,무,무
ID12143,67,남자,도시,55716.5,미혼,2,유,유,무,무,유
ID12144,32,여자,도시,27571.5,기혼,0,유,무,유,유,무
ID12145,20,남자,도심,13740.0,미혼,2,유,유,유,유,무
ID12146,64,남자,도심,52670.6,기혼,2,무,유,유,유,유
ID12147,50,여자,도심,13283.9,미혼,1,유,유,유,무,유
ID12148,29,남자,도심,13106.6,미혼,2,무,유,유,유,유
ID12149,52,남자,도심,39547.8,미혼,2,유,무,유,무,유
ID12150,47,여자,시골,17867.3,기혼,2,유,유,무,무,무
ID12151,24,남자,도시,14309.7,미혼,2,유,유,무,무,무
ID12152,36,남자,도시,23894.8,기혼,0,무,무,무,무,무
ID12153,43,남자,도시,16259.7,기혼,1,무,유,유,무,유
ID12154,48,남자,근교,29794.1,미혼,1,무,유,유,무,유
ID12155,63,남자,도시,56842.5,기혼,0,무,유,유,유,무
ID12156,52,여자,시골,47835.8,미혼,3,무,유,무,무,유
ID12157,58,여자,도심,24977.5,미혼,0,무,무,유,무,유
ID12158,28,남자,도심,23124.9,기혼,0,무,유,유,무,유
ID12159,29,여자,도심,15143.8,기혼,0,무,무,유,무,무
ID12160,34,남자,도심,25334.3,미혼,1,유,유,유,유,유
ID12161,42,여자,도심,24763.3,기혼,1,무,유,유,유,유
ID12162,65,여자,도심,36589.0,미혼,1,유,무,유,무,유
ID12163,47,남자,도심,27022.6,기혼,2,무,유,유,무,무
ID12164,20,남자,도심,11700.4,기혼,0,무,유,무,무,무
ID12165,21,남자,도시,5014.21,미혼,0,유,유,유,유,무
ID12166,42,남자,도심,17390.1,기혼,0,무,유,유,무,무
ID12167,19,남자,도시,10861.0,미혼,2,무,유,유,무,무
ID12168,41,여자,도시,34892.9,미혼,0,무,유,유,유,무
ID12169,30,남자,도시,19403.1,미혼,2,무,유,유,무,무
ID12170,31,여자,시골,10441.9,기혼,2,무,무,유,무,유
ID12171,25,남자,도심,14064.9,기혼,3,유,유,유,무,무
ID12172,21,남자,도심,8062.73,미혼,0,무,무,유,무,유
ID12173,36,남자,도심,31982.0,기혼,3,유,유,유,유,유
ID12174,58,여자,도심,23197.5,기혼,2,무,유,무,유,무
