날씨	요일	교통수단	출발시간	소요시간
눈비	토	버스	700	46
안개	토	지하철	649	63
맑음	월	버스	731	74
안개	토	버스	800	39
눈비	토	버스	649	48
안개	월	지하철	722	65
안개	주중	승용차	611	41
눈비	주중	지하철	701	54
맑음	주중	버스	601	26
안개	토	승용차	718	38
안개	월	버스	651	67
안개	주중	버스	648	57
안개	주중	지하철	539	58
맑음	토	버스	711	34
눈비	월	지하철	610	65
안개	토	승용차	709	32
맑음	토	승용차	609	27
안개	월	지하철	539	66
맑음	주중	승용차	701	64
맑음	월	버스	710	75
눈비	주중	승용차	800	105
맑음	토	지하철	611	64
안개	주중	승용차	718	76
눈비	토	버스	601	41
눈비	토	지하철	651	59
맑음	토	승용차	721	33
눈비	월	버스	611	59
안개	주중	지하철	701	58
맑음	주중	승용차	711	60
안개	토	승용차	800	36
안개	월	승용차	712	82
맑음	주중	지하철	542	61
눈비	주중	지하철	712	65
안개	토	버스	659	39
눈비	토	승용차	611	45
맑음	토	지하철	711	52
눈비	토	버스	542	40
눈비	주중	지하철	601	66
눈비	토	승용차	650	46
안개	월	승용차	630	60
맑음	토	버스	647	30
맑음	월	지하철	722	62
눈비	월	버스	629	72
눈비	주중	버스	718	87
안개	월	승용차	802	99
눈비	월	지하철	600	62
맑음	토	버스	601	32
눈비	토	승용차	541	39
눈비	월	지하철	721	60
안개	주중	지하철	651	60
맑음	토	지하철	800	69
눈비	월	승용차	630	69
안개	월	승용차	729	84
맑음	토	승용차	600	28
안개	주중	버스	800	87
맑음	토	지하철	731	58
안개	토	지하철	700	60
안개	토	버스	629	41
안개	주중	지하철	630	64
안개	월	승용차	721	82
맑음	월	승용차	720	72
안개	월	지하철	709	60
안개	월	지하철	649	56
맑음	월	지하철	601	62
맑음	주중	버스	650	48
눈비	주중	버스	631	66
맑음	주중	승용차	600	26
눈비	토	지하철	701	52
맑음	토	버스	700	28
눈비	월	승용차	540	52
맑음	주중	버스	609	33
안개	토	지하철	730	61
안개	주중	지하철	720	65
안개	토	버스	731	39
맑음	월	지하철	711	52
안개	월	버스	631	62
맑음	월	버스	628	50
눈비	주중	버스	612	46
