고객ID,주간통화횟수,주간통화시간_분,야간통화횟수,야간통화시간_분,주말통화횟수,주말통화시간_분,국제통화시간_분,국내통화요금_분,월
"K100290",11,17.549910,1,8.891954,4,7.507461,2.053153,0,"1월"
"K100300",7,14.004349,1,4.843970,2,4.796010,1.950955,0,"1월"
"K100340",6,11.903876,0,0.000000,2,4.076670,1.658324,0,"1월"
"K100380",2,11.338800,3,6.184800,0,0.000000,2.444532,0,"1월"
"K100550",3,12.150150,2,5.005862,0,0.000000,1.888415,0,"1월"
"K100610",0,0.000000,1,2.545390,0,0.000000,0.981168,0,"1월"
"K100780",2,5.125976,0,0.000000,0,0.000000,2.879299,0,"1월"
"K100870",5,4.332813,4,2.599688,0,0.000000,1.586445,0,"1월"
"K101030",5,8.440944,3,9.496062,0,0.000000,1.715286,0,"1월"
"K101260",2,7.335398,6,13.063602,1,2.884707,1.829981,0,"1월"
"K101270",0,0.000000,2,26.435434,0,0.000000,3.750277,0,"1월"
"K101280",5,8.112951,1,8.850492,2,4.126717,4.035200,0,"1월"
"K101360",9,14.462960,4,11.363755,2,6.542768,9.975495,0,"1월"
"K101390",4,9.095090,6,9.815494,0,0.000000,1.486194,0,"1월"
"K101440",1,2.053836,6,14.110614,0,0.000000,1.135741,0,"1월"
"K101450",3,8.731098,2,6.034730,1,7.703910,7.284266,0,"1월"
"K101590",1,2.883447,6,10.208961,1,2.597700,4.225810,0,"1월"
"K101620",0,0.000000,2,8.724420,1,3.749970,1.998163,0,"1월"
"K101830",1,5.613552,6,13.753202,0,0.000000,0.128419,0,"1월"
"K101840",0,0.000000,0,0.000000,1,10.055214,3.403837,0,"1월"
"K101890",1,7.473197,1,2.880295,1,5.760589,0.493351,0,"1월"
"K102060",9,5.719118,4,2.419627,0,0.000000,2.366742,0,"1월"
"K102120",2,5.300423,2,3.056686,1,1.690933,0.946375,0,"1월"
"K102230",3,20.701450,3,5.255809,0,0.000000,7.362452,0,"1월"
"K102430",5,10.223494,3,10.313968,0,0.000000,7.566808,0,"1월"
