name,state,faa
Los Angeles Intl,CA,LAX
John F Kennedy Intl,NY,JFK
Chicago O'Hare Intl,IL,ORD
Hartsfield Jackson Atlanta Intl,GA,ATL
San Francisco Intl,CA,SFO
Newark Liberty Intl,NJ,EWR
McCarran Intl,NV,LAS
Dallas Fort Worth Intl,TX,DFW
Orlando Intl,FL,MCO
Denver Intl,CO,DEN
La Guardia Airport,NY,LGA
Miami Intl,FL,MIA
Washington Dulles Intl,DC,IAD
Seattle Tacoma Intl,WA,SEA
Phoenix Sky Harbor Intl,AZ,PHX
General Edward Lawrence Logan Intl,MA,BOS
Philadelphia Intl,PA,PHL
George Bush Intercontinental Houston Airport,TX,IAH
Charlotte Douglas Intl,NC,CLT
Ronald Reagan Washington National Airport,DC,DCA
Detroit Metropolitan Wayne County Airport,MI,DTW
Minneapolis-St Paul International/Wold-Chamberlain Airport,MN,MSP
San Diego Intl,CA,SAN
Fort Lauderdale Hollywood Intl,FL,FLL
Salt Lake City Intl,UT,SLC
St Louis Lambert Intl,MO,STL
Chicago Midway Intl,IL,MDW
Daniel K Inouye Intl,HI,HNL
Baltimore/Washington International Thurgood Marshall Airport,MD,BWI
Portland Intl,OR,PDX
Tampa Intl,FL,TPA
Cincinnati Northern Kentucky Intl,KY,CVG
Louis Armstrong New Orleans Intl,LA,MSY
Pittsburgh Intl,PA,PIT
Metropolitan Oakland Intl,CA,OAK
Norman Y. Mineta San Jose Intl,CA,SJC
Raleigh Durham Intl,NC,RDU
Austin Bergstrom Intl,TX,AUS
Memphis Intl,TN,MEM
Nashville Intl,TN,BNA
San Antonio Intl,TX,SAT
John Wayne Airport-Orange County Airport,CA,SNA
Kansas City Intl,MO,MCI
William P Hobby Airport,TX,HOU
Cleveland Hopkins Intl,OH,CLE
Indianapolis Intl,IN,IND
Dallas Love Field,TX,DAL
Albuquerque International Sunport Airport,NM,ABQ
General Mitchell Intl,WI,MKE
Port Columbus Intl,OH,CMH
Tucson Intl,AZ,TUS
Buffalo Niagara Intl,NY,BUF
Ted Stevens Anchorage Intl,AK,ANC
Jacksonville Intl,FL,JAX
Bradley Intl,CT,BDL
Palm Beach Intl,FL,PBI
El Paso Intl,TX,ELP
Will Rogers World Airport,OK,OKC
Kahului Airport,HI,OGG
Sacramento Intl,CA,SMF
Reno Tahoe Intl,NV,RNO
Norfolk Intl,VA,ORF
Bob Hope Airport,CA,BUR
Long Beach /Daugherty Field/ Airport,CA,LGB
Theodore Francis Green State Airport,RI,PVD
Wittman Regional Airport,WI,OSH
Louisville International Standiford Field,KY,SDF
Ontario Intl,CA,ONT
Eppley Airfield,NE,OMA
Syracuse Hancock Intl,NY,SYR
Westchester County Airport,NY,HPN
Albany Intl,NY,ALB
Charleston Air Force Base-Intl,SC,CHS
Birmingham-Shuttlesworth Intl,AL,BHM
Richmond Intl,VA,RIC
Greater Rochester Intl,NY,ROC
Savannah Hilton Head Intl,GA,SAV
Spokane Intl,WA,GEG
Boise Air Terminal/Gowen field,ID,BOI
Southwest Florida Intl,FL,RSW
Portland International Jetport Airport,ME,PWM
Santa Barbara Municipal Airport,CA,SBA
James M Cox Dayton Intl,OH,DAY
Wichita Mid Continent Airport,KS,ICT
Manchester Airport,NH,MHT
Boeing Field King County Intl,WA,BFI
Palm Springs Intl,CA,PSP
City of Colorado Springs Municipal Airport,CO,COS
Burlington Intl,VT,BTV
Gerald R. Ford Intl,MI,GRR
Des Moines Intl,IA,DSM
Dane County Regional Truax Field,WI,MSN
North Las Vegas Airport,NV,VGT
Bill & Hillary Clinton National Airport/Adams Field,AR,LIT
Piedmont Triad Intl,NC,GSO
Tulsa Intl,OK,TUL
Monterey Peninsula Airport,CA,MRY
Kona International At Keahole Airport,HI,KOA
Santa Monica Municipal Airport,CA,SMO
Pensacola Regional Airport,FL,PNS
Teterboro Airport,NJ,TEB
Van Nuys Airport,CA,VNY
Rapid City Regional Airport,SD,RAP
McGhee Tyson Airport,TN,TYS
Tallahassee Regional Airport,FL,TLH
Fresno Yosemite Intl,CA,FAT
Sarasota Bradenton Intl,FL,SRQ
Key West Intl,FL,EYW
Lakefront Airport,LA,NEW
Bangor Intl,ME,BGR
Greenville Spartanburg Intl,SC,GSP
Blue Grass Airport,KY,LEX
Santa Fe Municipal Airport,NM,SAF
Bellingham Intl,WA,BLI
Daytona Beach Intl,FL,DAB
Montgomery Field,CA,MYF
Lubbock Preston Smith Intl,TX,LBB
Centennial Airport,CO,APA
St Petersburg Clearwater Intl,FL,PIE
DeKalb Peachtree Airport,GA,PDK
Camarillo Airport,CA,CMA
Rick Husband Amarillo Intl,TX,AMA
Fort Lauderdale Executive Airport,FL,FXE
Kissimmee Gateway Airport,FL,ISM
Napa County Airport,CA,APC
Sedona Airport,AZ,SEZ
Lovell Field,TN,CHA
Charlottesville Albemarle Airport,VA,CHO
Harrisburg Intl,PA,MDT
Buchanan Field,CA,CCR
Livermore Municipal Airport,CA,LVK
Columbia Metropolitan Airport,SC,CAE
Mc Clellan-Palomar Airport,CA,CRQ
Scottsdale Airport,AZ,SDL
Lihue Airport,HI,LIH
Huntsville International Carl T Jones Field,AL,HSV
Billings Logan Intl,MT,BIL
San Luis County Regional Airport,CA,SBP
Sacramento Executive Airport,CA,SAC
Palo Alto Airport of Santa Clara County,CA,PAO
Watsonville Municipal Airport,CA,WVI
The Eastern Iowa Airport,IA,CID
Austin Straubel Intl,WI,GRB
Akron Canton Regional Airport,OH,CAK
Mahlon Sweet Field,OR,EUG
Laurence G Hanscom Field,MA,BED
Charles M. Schulz Sonoma County Airport,CA,STS
Ernest A. Love Field,AZ,PRC
Wilkes Barre Scranton Intl,PA,AVP
San Carlos Airport,CA,SQL
Asheville Regional Airport,NC,AVL
Orlando Sanford Intl,FL,SFB
Long Island Mac Arthur Airport,NY,ISP
Fairbanks Intl,AK,FAI
Hilo Intl,HI,ITO
Orlando Executive Airport,FL,ORL
Springfield Branson National Airport,MO,SGF
Paso Robles Municipal Airport,CA,PRB
Henderson Executive Airport,NV,HND
Jackson Hole Airport,WY,JAC
Stewart Intl,NY,SWF
Mobile Regional Airport,AL,MOB
Flagstaff Pulliam Airport,AZ,FLG
Gainesville Regional Airport,FL,GNV
Lakeland Linder Regional Airport,FL,LAL
Opa-locka Executive Airport,FL,OPF
Naples Municipal Airport,FL,APF
South Bend Regional Airport,IN,SBN
Grand Canyon National Park Airport,AZ,GCN
Phoenix Deer Valley Airport,AZ,DVT
Myrtle Beach Intl,SC,MYR
Lehigh Valley Intl,PA,ABE
Snohomish County (Paine Field) Airport,WA,PAE
Pueblo Memorial Airport,CO,PUB
Catalina Airport,CA,AVX
Big Bear City Airport,CA,L35
Addison Airport,TX,ADS
Martha's Vineyard Airport,MA,MVY
Northeast Florida Regional Airport,FL,SGJ
Rochester Intl,MN,RST
Meadows Field,CA,BFL
Gillespie Field,CA,SEE
Great Falls Intl,MT,GTF
Nantucket Memorial Airport,MA,ACK
Wilmington Intl,NC,ILM
Yuma MCAS/Yuma Intl,AZ,NYL
Lake Tahoe Airport,CA,TVL
Friday Harbor Airport,WA,FHR
Fullerton Municipal Airport,CA,FUL
French Valley Airport,CA,F70
Nut Tree Airport,CA,VCB
Fort Wayne Intl,IN,FWA
Hector Intl,ND,FAR
Rogue Valley International Medford Airport,OR,MFR
Redding Municipal Airport,CA,RDD
Cincinnati Municipal Airport Lunken Field,OH,LUK
Laughlin Bullhead Intl,AZ,IFP
Vero Beach Municipal Airport,FL,VRB
Aspen-Pitkin Co/Sardy Field,CO,ASE
Portland Hillsboro Airport,OR,HIO
Reid-Hillview Airport of Santa Clara County,CA,RHV
Yeager Airport,WV,CRW
Gulfport Biloxi Intl,MS,GPT
Republic Airport,NY,FRG
Hartford Brainard Airport,CT,HFD
St George Municipal Airport,UT,SGU
Columbia Airport,CA,O22
Hayward Executive Airport,CA,HWD
Falcon Field,AZ,FFZ
Zamperini Field,CA,TOA
"Baton Rouge Metropolitan, Ryan Field",LA,BTR
Roanoke?“Blacksburg Regional Airport,VA,ROA
Toledo Express Airport,OH,TOL
Lincoln Airport,NE,LNK
Santa Maria Pub/Capt G Allan Hancock Field,CA,SMX
Joe Foss Field Airport,SD,FSD
Fort Worth Meacham Intl,TX,FTW
Groton New London Airport,CT,GON
Phoenix-Mesa-Gateway Airport,AZ,IWA
Burke Lakefront Airport,OH,BKL
Truckee Tahoe Airport,CA,TRK
Petaluma Municipal Airport,CA,O69
Tracy Municipal Airport,CA,TCY
Jackson-Medgar Wiley Evers Intl,MS,JAN
Quad City Intl,IL,MLI
Igor I Sikorsky Memorial Airport,CT,BDR
University of Illinois Willard Airport,IL,CMI
Cheyenne Regional Jerry Olson Field,WY,CYS
Bishop Intl,MI,FNT
Missoula Intl,MT,MSO
The Florida Keys Marathon Airport,FL,MTH
Oxnard Airport,CA,OXR
Brown Field Municipal Airport,CA,SDM
Harris Ranch Airport,CA,3O8
Half Moon Bay Airport,CA,HAF
Marin County Airport - Gnoss Field,CA,DVO
Corpus Christi Intl,TX,CRP
Newport News Williamsburg Intl,VA,PHF
Grand Junction Regional Airport,CO,GJT
Capital City Airport,MI,LAN
Melbourne Intl,FL,MLB
