,title,release,distributor,director,rate,directorEff,actorEff,distributorEff,season,release.1,productContinent,showtime,trailershow,genre액션,genre범죄,genre드라마,genre코미디,genre어드벤처,genre멜로.로맨스,genreSF,genre다큐멘터리,genre공연,genre판타지,genre애니메이션,genre공포.호러.,genre성인물.에로.,genre사극,genre미스터리,star.1,firstppl,allpeople
1,테이큰 3,2015-01-01,이십세기폭스코리아(주),올리비에 메가턴,15세이상관람가,2157578.5,739098.5,1210796.833,1,목요일,북아메리카,137,1300957,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,1196326,2006561
2,언브로큰,2015-01-07,유니버설픽쳐스인터내셔널 코리아(유),안젤리나 졸리,15세이상관람가,827163.5,155172.9167,615517.7419,0,수요일,북아메리카,137,164797,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,26707,256801
3,패딩턴,2015-01-07,롯데쇼핑㈜롯데엔터테인먼트,폴 킹,전체관람가,314780,129317,939394.8315,0,수요일,유럽,95,237769,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,A,17996,315004
4,워킹걸,2015-01-07,메가박스(주)플러스엠,정범식,청소년관람불가,326277.3333,690335.1667,300007.5714,0,수요일,아시아,112,1017582,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,C,16134,151550
5,내일을 위한 시간,2015-01-01,그린나래미디어(주),장 피에르 다르덴,12세이상관람가,41557,10551.75,NA,1,목요일,유럽,95,79185,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,13794,42417
6,타임 패러독스,2015-01-07,(유)조이앤시네마,마이클 스피어리그,15세이상관람가,82246,68754.5,10713.5,0,수요일,오세아니아,97,203178,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,B,8042,82246
7,아메리칸 셰프,2015-01-07,(주)영화사 진진,존 파브로,15세이상관람가,153794,1628379.833,26747.775,0,수요일,북아메리카,114,191187,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,2739,154665
8,아메리칸 스나이퍼,2015-01-14,워너브러더스 코리아(주),클린트 이스트우드,청소년관람불가,172879.5,165528.5833,1924465,0,수요일,북아메리카,132,441947,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1556,345759
9,바티칸 뮤지엄,2015-01-08,(주)팝엔터테인먼트,루카 드 마타,전체관람가,11027,11027,15471.31818,0,목요일,유럽,65,23279,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,C,1529,11027
10,유아 낫 유,2015-01-21,(주)마인스 엔터테인먼트,조지 C. 울프,15세이상관람가,17372,9129.5,41290.44118,0,수요일,북아메리카,104,561377,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,1138,17372
11,고양이 장례식,2015-01-15,(주)인디플러그,이종훈,12세이상관람가,2865,199253.6667,6808.363636,0,목요일,아시아,107,70009,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,D,990,2865
12,설해,2015-01-08,"(주)마인스 엔터테인먼트,(주)씨타마운틴픽쳐스",김정권,12세이상관람가,3933,2814.333333,27203.2637,0,목요일,아시아,108,94393,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,A,894,3933
13,박물관이 살아있다 : 비밀의 무덤,2015-01-14,이십세기폭스코리아(주),숀 레비,전체관람가,367226,1965342.933,1210796.833,0,수요일,북아메리카,98,193161,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,B,866,1101678
14,노엘의 선물,2015-02-05,(주)나이너스엔터테인먼트,알렉산더 코페르,전체관람가,4253,8327.5,60803.77778,0,목요일,유럽,81,49822,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,A,598,4253
15,와일드,2015-01-22,이십세기폭스코리아(주),장 마크 발레,청소년관람불가,83334,88435.55556,1210796.833,0,목요일,북아메리카,122,29199,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,482,83761
16,미라클 여행기,2015-01-15,미라클필름,허철,전체관람가,3399,566.5,3399,0,목요일,아시아,84,19980,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,452,3399
17,나의 사적인 여자친구,2015-01-08,찬란,프랑소와 오종,청소년관람불가,11351.66667,11107,14099.2,0,목요일,유럽,108,45236,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,A,421,9836
18,존 윅,2015-01-21,(주)나이너스엔터테인먼트,데이빗 레이치,청소년관람불가,58064.5,715604.75,60803.77778,0,수요일,북아메리카,122,190913,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,326,116402
19,강남 1970,2015-01-21,(주)쇼박스,유하,청소년관람불가,1096086,2205307.067,2679115.4,0,수요일,아시아,135,2129131,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,238,2192276
20,허삼관,2015-01-14,(주)넥스트엔터테인먼트월드(NEW),하정우,12세이상관람가,612661.5,1256851,1730768.045,0,수요일,아시아,124,984848,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,214,956103
21,불량변호사,2015-01-01,(주)소나무픽쳐스,애덤 캐슨,청소년관람불가,200,2892483,1360.110169,1,목요일,북아메리카,100,200,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,200,200
22,위플래쉬,2015-03-12,(주)쇼박스,다미엔 차젤레,15세이상관람가,1589048,41741,2679115.4,0,목요일,북아메리카,106,521726,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,A,147,1589048
23,트라이브,2015-01-29,오드,미로슬라브 슬라보슈비츠키,청소년관람불가,10368,5184,8861.333333,0,목요일,유럽,116,53745,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,107,10392
24,갓 헬프 더 걸,2015-02-12,찬란,스튜어트 머독,15세이상관람가,5724,4333,14099.2,0,목요일,유럽,111,40801,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,B,73,5724
25,매직 티팟,2015-01-07,씨네그루(주)다우기술,라마 모슬리,청소년관람불가,50,8792.5,158754.7931,0,수요일,북아메리카,101,8239,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,NA,50,50
26,한여름의 판타지아,2015-06-11,㈜인디스토리,장건재,전체관람가,19124,22774,5107.791667,0,목요일,아시아,97,85956,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,48,36767
27,천하영웅 자객,2015-01-07,(주)케이알씨지,묘술,15세이상관람가,44,848,489.7926829,0,수요일,아시아,90,22059,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,D,22,44
28,4명의 암살자,2015-01-05,(주)케이알씨지,스텐리 J. 오젤,15세이상관람가,4,1075333,489.7926829,0,월요일,북아메리카,87,8390,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,4,4
29,라스트 엘비스,2015-01-07,(주)소나무픽쳐스,아르만도 보,15세이상관람가,103121,0,1360.110169,0,수요일,남아메리카,92,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,C,1,1
30,오늘의 연애,2015-01-14,씨제이이앤엠(주),박진표,15세이상관람가,1891993,848148.6667,1776720.043,0,수요일,아시아,118,1152682,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,B,141522,1891993
31,빅 히어로,2015-01-21,월트디즈니컴퍼니코리아(주),돈 홀,전체관람가,2801949,22232.66667,3265032.5,0,수요일,북아메리카,108,696996,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,A,3606,2801949
32,더 이퀄라이저,2015-01-28,유니버설픽쳐스인터내셔널 코리아(유),안톤 후쿠아,청소년관람불가,131886,100477.3333,615517.7419,1,수요일,북아메리카,131,84174,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,B,2926,82779
33,제거자,2015-01-08,스크린조이,닉 사이먼,청소년관람불가,359,239.3333333,1180.44898,0,목요일,북아메리카,90,7433,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,D,215,359
