N,c4,c5,d2,d3,d4
1,,,1,0.82,1
2,0.797885,0.603,1.128,0.8525,0.954
3,0.886227,0.463,1.693,0.8884,1.588
4,0.921318,0.389,2.059,0.8794,1.978
5,0.939986,0.341,2.326,0.8641,2.257
6,0.951533,0.308,2.534,0.848,2.472
7,0.959369,0.282,2.704,0.8332,2.645
8,0.96503,0.262,2.847,0.8198,2.791
9,0.969311,0.246,2.97,0.8078,2.915
10,0.972659,0.232,3.078,0.7971,3.024
11,0.97535,0.22,3.173,0.7873,3.121
12,0.977559,0.21,3.258,0.7785,3.207
13,0.979406,0.202,3.336,0.7704,3.285
14,0.980971,0.194,3.407,0.763,3.356
15,0.982316,0.187,3.472,0.7562,3.422
16,0.983484,0.181,3.532,0.7499,3.482
17,0.984506,0.175,3.588,0.7441,3.538
18,0.98541,0.17,3.64,0.7386,3.591
19,0.986214,0.166,3.689,0.7335,3.64
20,0.986934,0.161,3.735,0.7287,3.686
21,0.987583,0.157,3.778,0.7242,3.73
22,0.98817,0.153,3.819,0.7199,3.771
23,0.988705,0.15,3.858,0.7159,3.811
24,0.989193,0.147,3.895,0.7121,3.847
25,0.98964,0.144,3.931,0.7084,3.883
26,0.990052,,3.965,,
27,0.990433,,3.997,,
28,0.990786,,4.028,,
29,0.991113,,4.058,,
30,0.991418,,4.086,,
31,0.991703,,4.113,,
32,0.991969,,4.139,,
33,0.992219,,4.164,,
34,0.992454,,4.189,,
35,0.992675,,4.213,,
36,0.992884,,4.236,,
37,0.99308,,4.258,,
38,0.993267,,4.28,,
39,0.993443,,4.301,,
40,0.993611,,4.322,,
41,0.99377,,4.342,,
42,0.993922,,4.361,,
43,0.994066,,4.38,,
44,0.994203,,4.398,,
45,0.994335,,4.415,,
46,0.99446,,4.432,,
47,0.99458,,4.449,,
48,0.994695,,4.466,,
49,0.994806,,4.482,,
50,0.994911,,4.498,,
51,0.995013,,,,
52,0.99511,,,,
53,0.995204,,,,
54,0.995294,,,,
55,0.995381,,,,
56,0.995465,,,,
57,0.995546,,,,
58,0.995624,,,,
59,0.995699,,,,
60,0.995772,,,,
61,0.995842,,,,
62,0.99591,,,,
63,0.995976,,,,
64,0.99604,,,,
65,0.996102,,,,
66,0.996161,,,,
67,0.996219,,,,
68,0.996276,,,,
69,0.99633,,,,
70,0.996383,,,,
71,0.996435,,,,
72,0.996485,,,,
73,0.996534,,,,
74,0.996581,,,,
75,0.996627,,,,
76,0.996672,,,,
77,0.996716,,,,
78,0.996759,,,,
79,0.9968,,,,
80,0.996841,,,,
81,0.99688,,,,
82,0.996918,,,,
83,0.996956,,,,
84,0.996993,,,,
85,0.997028,,,,
86,0.997063,,,,
87,0.997097,,,,
88,0.997131,,,,
89,0.997163,,,,
90,0.997195,,,,
91,0.997226,,,,
92,0.997257,,,,
93,0.997286,,,,
94,0.997315,,,,
95,0.997344,,,,
96,0.997372,,,,
97,0.997399,,,,
98,0.997426,,,,
99,0.997452,,,,
100,0.997478,,,,
