coating,roll
50.3175,1
50.1432,1
50.4081,1
49.5077,2
50.2715,2
49.4091,2
49.3587,3
49.1436,3
49.5229,3
49.5005,4
50.4829,4
49.7904,4
47.911,5
47.9221,5
48.6716,5
49.8851,6
50.1697,6
49.8762,6
50.4223,7
50.7303,7
49.9994,7
49.7899,8
49.8906,8
49.58,8
50.4464,9
51.6716,9
51.106,9
51.4371,10
50.7355,10
50.7538,10
50.2943,11
49.7753,11
49.7322,11
48.6112,12
48.048,12
48.5373,12
49.3312,13
48.9048,13
48.6753,13
49.4319,14
50.1224,14
49.2045,14
50.3789,15
49.7629,15
50.5952,15
48.6722,16
49.639,16
49.1306,16
49.5332,17
49.5897,17
50.0007,17
49.4866,18
49.5549,18
50.4324,18
48.6924,19
49.8281,19
49.8926,19
50.8253,20
50.6484,20
50.8569,20
50.3306,21
49.4764,21
49.5988,21
49.9728,22
50.2333,22
50.7228,22
50.5934,23
49.9355,23
49.3386,23
49.5547,24
49.6442,24
49.7181,24
51.3211,25
51.9875,25
51.7502,25
