sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400,650,1000
A,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,5,8,12,18,27
B,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,27,41
C,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,27,41,41
D,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,27,41,41,41
E,13,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,27,41,41,41,41
F,20,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,18,27,41,41,41,41
G,32,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,18,18,27,41,41,41,41
H,50,0,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,18,18,18,27,41,41,41,41
J,80,0,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,18,18,18,18,27,41,41,41,41
K,125,0,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,18,18,18,18,18,27,41,41,41,41
L,200,0,0,0,0,0,0,1,1,1,2,3,5,8,12,18,18,18,18,18,18,18,27,41,41,41,41
M,315,0,0,0,0,0,1,1,1,2,3,5,8,12,18,18,18,18,18,18,18,18,27,41,41,41,41
N,500,0,0,0,0,1,1,1,2,3,5,8,12,18,18,18,18,18,18,18,18,18,27,41,41,41,41
P,800,0,0,0,1,1,1,2,3,5,8,12,18,18,18,18,18,18,18,18,18,18,27,41,41,41,41
Q,1250,0,0,1,1,1,2,3,5,8,12,18,18,18,18,18,18,18,18,18,18,18,27,41,41,41,41
R,2000,0,0,1,1,2,3,5,8,12,18,18,18,18,18,18,18,18,18,18,18,18,27,41,41,41,41
S,3150,,,1,,,,,,,,,,,,,,,,,,,,,,,
