AQLmin,AQLmax,0.71,0.91,1.13,1.41,1.81,2.25,2.81,3.56,4.51,5.61,7.11,9.01,11.3,14.1,18.1,22.4,28.1
0.09,0.112,-1,1,1,1,1,0,0,0,0,1,1,1,0,0,0,0,0
0.113,0.14,-1,2,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0
0.141,0.18,-1,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0
0.181,0.224,-1,-1,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0
0.225,0.28,-1,-1,3,2,2,1,1,1,1,0,0,0,0,0,0,0,0
0.281,0.355,-1,-1,-1,4,2,2,1,1,1,1,0,0,0,0,0,0,0
0.356,0.45,-1,-1,-1,6,3,2,2,1,1,1,1,0,0,0,0,0,0
0.451,0.56,-1,-1,-1,-1,4,2,2,2,1,1,1,1,0,0,0,0,0
0.561,0.71,-1,-1,-1,-1,6,4,3,2,2,1,1,1,1,0,0,0,0
0.771,0.9,-1,-1,-1,-1,-1,6,4,4,2,2,1,1,1,1,0,0,0
0.901,1.12,,-1,-1,-1,-1,-1,6,6,3,2,2,1,1,1,1,0,0
1.13,1.4,,,-1,-1,-1,-1,10,6,4,3,2,2,1,1,1,1,0
1.41,1.8,,,,-1,-1,-1,-1,10,6,4,3,2,2,1,1,1,1
1.81,2.24,,,,,-1,-1,-1,-1,10,6,4,3,2,2,1,1,1
2.25,2.8,,,,,,-1,-1,-1,-1,10,6,4,3,2,2,1,1
2.81,3.55,,,,,,,-1,-1,-1,-1,10,6,4,3,2,2,1
3.56,4.5,,,,,,,,-1,-1,-1,-1,10,6,4,3,2,2
4.51,5.6,,,,,,,,,-1,-1,-1,-1,10,6,4,3,2
5.61,7.1,,,,,,,,,,-1,-1,-1,-1,10,6,3,3
7.11,9,,,,,,,,,,,-1,-1,-1,-1,10,6,4
9.01,11.2,,,,,,,,,,,,-1,-1,-1,-1,10,6
