sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400,650,1000
A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,14,21,30
B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,14,21,30
C,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,3,5,7,10,14,21,30
D,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,11,21,30
E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,11,11,21,30
F,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,7,11,11,21,30
G,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,7,11,11,21,30
H,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,5,7,11,11,21,30
J,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,7,11,11,21,30
K,32,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,7,11,11,21,30
L,50,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,5,7,11,11,21,30
M,80,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,5,5,7,11,11,21,30
N,125,0,0,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,5,5,5,7,11,11,21,30
P,200,0,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,5,5,5,5,7,11,11,21,30
Q,315,0,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,5,5,5,5,5,7,11,11,21,30
R,500,0,0,0,0,0,0,1,2,3,5,5,5,5,5,5,5,5,5,5,5,5,7,11,11,21,30
