sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400,650,1000
A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,6,8,11,15,22,31
B,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,6,8,11,15,22,31
C,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,5,6,8,10,13,17,24,31
D,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,7,8,10,13,17,24,31
E,3,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,7,8,10,13,17,17,24,31
F,5,1,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,7,8,10,10,13,17,17,24,31
G,8,1,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,7,8,10,10,10,13,17,17,24,31
H,13,1,1,1,1,1,1,1,1,1,2,2,3,4,4,5,7,8,10,10,10,10,13,17,17,24,31
J,20,1,1,1,1,1,1,1,1,2,2,3,4,4,5,7,8,10,10,10,10,10,13,17,17,24,31
K,32,1,1,1,1,1,1,1,2,2,3,4,4,5,7,8,10,10,10,10,10,10,13,17,17,24,31
L,50,1,1,1,1,1,1,2,2,3,4,4,5,7,8,10,10,10,10,10,10,10,13,17,17,24,31
M,80,1,1,1,1,1,2,2,3,4,4,5,7,8,10,10,10,10,10,10,10,10,13,17,17,24,31
N,125,1,1,1,1,2,2,3,4,4,5,7,8,10,10,10,10,10,10,10,10,10,13,17,17,24,31
P,200,1,1,1,2,2,3,4,4,5,7,8,10,10,10,10,10,10,10,10,10,10,13,17,17,24,31
Q,315,1,1,2,2,3,4,4,5,7,8,10,10,10,10,10,10,10,10,10,10,10,13,17,17,24,31
R,500,1,1,2,3,4,4,5,7,8,10,10,10,10,10,10,10,10,10,10,10,10,13,17,17,24,31
