sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400,650,1000
A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,3,5,8,12,18,27
B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,34,52
C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,34,52,52
D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,34,52,52,52
E,8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,34,52,52,52,52
F,13,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,23,34,52,52,52,52
G,20,0,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,23,23,34,52,52,52,52
H,32,0,0,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,23,23,23,34,52,52,52,52
J,50,0,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,23,23,23,23,34,52,52,52,52
K,80,0,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,23,23,23,23,23,34,52,52,52,52
L,125,0,0,0,0,0,0,1,1,1,3,4,6,11,15,23,23,23,23,23,23,23,34,52,52,52,52
M,200,0,0,0,0,0,1,1,1,3,4,6,11,15,23,23,23,23,23,23,23,23,34,52,52,52,52
N,315,0,0,0,0,1,1,1,3,4,6,11,15,23,23,23,23,23,23,23,23,23,34,52,52,52,52
P,500,0,0,0,1,1,1,3,4,6,11,15,23,23,23,23,23,23,23,23,23,23,34,52,52,52,52
Q,800,0,0,1,1,1,3,4,6,11,15,23,23,23,23,23,23,23,23,23,23,23,34,52,52,52,52
R,1250,0,0,1,1,3,4,6,11,15,23,23,23,23,23,23,23,23,23,23,23,23,34,52,52,52,52
S,2000,,,1,,,,,,,,,,,,,,,,,,,,,,,
