sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400,650,1000
A,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,4,6,9,13,19,28
B,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,20,29
C,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,20,29,29
D,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,20,29,29,29
E,8,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,20,29,29,29,29
F,13,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,14,20,29,29,29,29
G,20,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,14,14,20,29,29,29,29
H,32,1,1,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,14,14,14,20,29,29,29,29
J,50,1,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,14,14,14,14,20,29,29,29,29
K,80,1,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,14,14,14,14,14,20,29,29,29,29
L,125,1,1,1,1,1,1,2,2,2,3,4,5,7,10,14,14,14,14,14,14,14,20,29,29,29,29
M,200,1,1,1,1,1,2,2,2,3,4,5,7,10,14,14,14,14,14,14,14,14,20,29,29,29,29
N,315,1,1,1,1,2,2,2,3,4,5,7,10,14,14,14,14,14,14,14,14,14,20,29,29,29,29
P,500,1,1,1,2,2,2,3,4,5,7,10,14,14,14,14,14,14,14,14,14,14,20,29,29,29,29
Q,800,1,1,2,2,2,3,4,5,7,10,14,14,14,14,14,14,14,14,14,14,14,20,29,29,29,29
R,1250,1,1,2,2,3,4,5,7,10,14,14,14,14,14,14,14,14,14,14,14,14,20,29,29,29,29
S,2000,,,2,,,,,,,,,,,,,,,,,,,,,,,
