sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10,15,25,40,65,100,150,250,400,650,1000
A,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,10,14,21,30
B,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,11,17,25
C,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,11,17,25,25
D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,11,17,25,25,25
E,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,7,11,17,25,25,25,25
F,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,5,7,11,11,17,25,25,25,25
G,20,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,5,7,11,11,11,17,25,25,25,25
H,32,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,7,11,11,11,11,17,25,25,25,25
J,50,0,0,0,0,0,0,0,0,0,0,0,1,2,3,5,5,11,11,11,11,11,17,25,25,25,25
K,80,0,0,0,0,0,0,0,0,0,0,1,2,3,5,7,7,11,11,11,11,11,17,25,25,25,25
L,125,0,0,0,0,0,0,0,0,0,1,2,3,5,7,11,11,11,11,11,11,11,17,25,25,25,25
M,200,0,0,0,0,0,0,0,0,1,2,3,5,7,11,11,11,11,11,11,11,11,17,25,25,25,25
N,315,0,0,0,0,0,0,0,1,2,3,5,7,11,11,11,11,11,11,11,11,11,17,25,25,25,25
P,500,0,0,0,0,0,0,1,2,3,5,7,11,11,11,11,11,11,11,11,11,11,17,25,25,25,25
Q,800,0,0,0,0,0,1,2,3,5,7,11,11,11,11,11,11,11,11,11,11,11,17,25,25,25,25
R,1250,0,0,0,0,1,2,3,5,7,11,11,11,11,11,11,11,11,11,11,11,11,17,25,25,25,25
