sLetter,sSize,0.01,0.015,0.025,0.04,0.065,0.1,0.15,0.25,0.4,0.65,1,1.5,2.5,4,6.5,10
B,3,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.395,1.163,0.954,0.907,0.818,0.526,0.023
C,4,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.395,1.163,0.954,0.907,0.818,0.526,0.023
D,6,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.395,1.163,0.954,0.907,0.818,0.526,0.023
E,9,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.395,1.163,1.119,1.046,0.853,0.58,0.099
F,13,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.395,1.348,1.275,1.108,0.902,0.587,0.161
G,18,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.615,1.566,1.494,1.338,1.159,0.907,0.597,0.368
H,25,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.83,1.782,1.712,1.565,1.405,1.169,0.938,0.763,0.461
J,35,3.037,2.889,2.736,2.569,2.399,2.215,2.025,1.978,1.91,1.77,1.622,1.429,1.212,1.065,0.823,0.619
K,50,3.037,2.889,2.736,2.569,2.399,2.215,2.168,2.102,1.969,1.829,1.652,1.457,1.329,1.123,0.955,0.809
L,70,3.037,2.889,2.736,2.569,2.399,2.353,2.289,2.16,2.028,1.862,1.684,1.569,1.387,1.242,1.118,0.809
M,95,3.037,2.889,2.736,2.569,2.524,2.461,2.336,2.209,2.052,1.685,1.778,1.612,1.481,1.372,1.118,0.809
N,125,3.037,2.889,2.736,2.692,2.631,2.51,2.389,2.239,2.082,1.982,1.829,1.71,1.611,1.372,1.118,0.809
P,160,3.037,2.889,2.846,2.787,2.67,2.553,2.41,2.261,2.167,2.023,1.913,1.822,1.611,1.372,1.118,0.809
Q,200,3.037,2.995,2.937,2.824,2.711,2.574,2.432,2.344,2.208,2.105,2.021,1.822,1.611,1.372,1.118,0.809
R,250,3.139,3.082,2.973,2.865,2.733,2.597,2.513,2.385,2.288,2.209,2.021,1.822,1.611,1.372,1.118,0.809
